0,1,2,3,y
6993,7524,3699,10818,1
6799,7463,5331,8931,1
6219,7083,2983,10319,1
4780,5556,3437,6899,1
12913,15431,13304,15040,1
7752,6788,6650,7890,0
15042,10928,11043,14927,0
3890,4202,3501,4591,1
8354,8982,8302,9034,1
22302,14293,16116,20479,0
5420,7184,5952,6652,1
12467,8728,9024,12171,0
14011,10505,11705,12811,0
6990,7818,7061,7747,1
8609,10139,9055,9693,1
6601,7339,4954,8986,1
8252,8391,5409,11234,1
8469,10635,6897,12207,1
9424,9514,8082,10856,1
9512,9571,7743,11340,0
19580,12898,14368,18110,0
8413,10791,5944,13260,1
10655,10215,9404,11466,0
14212,11535,12942,12805,0
17020,11251,13617,14654,0
5920,7411,6001,7330,1
5190,5722,1969,8943,1
11160,9108,9364,10904,0
15110,11254,11162,15202,0
7227,8027,5051,10203,1
12866,14990,12125,15731,0
9058,8485,5678,11865,0
12891,10587,11195,12283,0
6917,8706,5742,9881,1
7633,7835,6650,8818,1
10267,7741,8190,9818,0
8034,6785,7137,7682,0
10405,7408,8382,9431,0
15077,9622,10373,14326,0
5272,6483,4124,7631,1
11163,15027,12547,13643,0
9953,11441,10696,10698,1
7803,7929,4002,11730,1
6702,7502,3587,10617,1
9874,9053,8386,10541,0
13341,9194,8112,14423,0
10716,10866,8708,12874,1
9261,7990,7950,9301,0
4520,5241,4704,5057,1
8736,7009,7506,8239,0
2967,3171,926,5212,1
5069,5458,2204,8323,1
15973,12377,13160,15190,0
10667,7689,8541,9815,0
13308,10042,11409,11941,0
8014,9181,7273,9922,1
7500,8477,7503,8474,1
8207,7978,4004,12181,1
6875,8503,6502,8876,0
8759,7297,7441,8615,0
10641,9426,8722,11345,0
8047,8406,4499,11954,1
7435,8776,8178,8033,1
4933,5622,5004,5551,1
4298,5446,3941,5803,1
11214,8715,7255,12674,0
8517,9030,5947,11600,1
12137,7759,6253,13643,0
9444,9568,5987,13025,1
10628,10536,9842,11322,1
13932,8959,6984,15907,0
8850,10191,7932,11109,1
6829,10004,6562,10271,0
13135,10599,11688,12046,0
8107,9209,6366,10950,1
9241,11174,7648,12767,1
8004,9493,9578,7919,1
10162,7394,6118,11438,0
15768,11015,12505,14278,0
10597,10956,9043,12510,1
8452,7948,7047,9353,0
10604,8431,8562,10473,0
4579,6120,4746,5953,1
12180,9303,9848,11635,0
17028,13709,13012,17725,0
7199,7379,4856,9722,1
